conversation_id,key_issue,key_resolution
441,Damaged coconut oil in order.,Replacement coconut oil sent.
442,Positive feedback on Leeds store staff.,Positive feedback given; no issue to resolve.
443,Website order tracking failure.,Order status update; website troubleshooting advice given.
444,Store closure cancelled order pickup.,Order rerouted to customer's home.
445,Late order delivery.,Replacement order expedited.
446,Seeking skincare product recommendation for sensitive skin.,Product recommendation: Vitamin E Cream for sensitive skin; availability confirmed at Meadowhall store.
447,Consolidated subscription orders not shipping together.,System error fixed; 10% discount offered.
448,Poor pasta texture.,Refund issued for unsatisfactory pasta.
449,Damaged product packaging upon pickup.,Product replacement arranged.
450,Lack of follow-up on a complaint.,Issue escalation; callback promised.
451,Ineffective Echinacea product.,Suggested Vitamin C and Zinc supplements.
452,Double charge on order.,Duplicate charge refunded.
453,Finding protein powder deals and recommendations.,Promotion details and product recommendation provided.
454,Damaged goods (twice).,Replacement order and 10% discount.
455,Positive feedback on Cardiff store staff.,Positive feedback given; no resolution needed.
456,Positive feedback on Brighton store staff.,Positive feedback provided.
457,Racial discrimination by staff.,Investigation launched into racial discrimination complaint.
458,Delayed refund.,Refund processing expedited; refund expected in 3-5 business days.
459,"Damaged, unsealed vitamin bottle received.","Replacement bottle sent, 15% discount offered."
460,Free bag not provided despite qualifying purchase.,Issued £5 voucher.
461,Delayed order delivery.,Shipping delay explained; package dispatched.
462,Changing subscription delivery date.,Delivery date changed.
463,Multivitamin gummies contained artificial colors.,Alternative product recommended; return/refund offered.
464,Rude store manager.,Complaint logged; investigation promised.
465,Racial discrimination by staff.,Investigation initiated; apology issued.
466,Order cancellation.,"Order cancelled, refund processed."
467,Positive feedback on fast delivery.,Positive feedback; no issue requiring resolution.
468,Hair dye didn't cover grey hair.,Refund issued.
469,Discontinued product.,Product discontinued; offered alternative.
470,Lack of noticeable results from Vitamin C serum.,Wait longer; see dermatologist if no improvement.
471,Positive feedback on fast delivery.,Positive feedback; no issue.
472,App crashing during checkout.,Reinstalled app; problem solved.
473,Security guard's behavior made customer feel like a shoplifter.,Investigation of security guard behavior.
474,Rude staff in Bristol store.,Online order placed; store staff complaint forwarded to manager.
475,Positive feedback on Ipswich store staff.,Positive feedback; no issue requiring resolution.
476,Website discount not applied at checkout.,Manual discount applied; refund issued.
477,Delayed supplement order.,Replacement order with express shipping.
478,Reduced quantity of soy mince for the same price.,Feedback forwarded to product team.
479,Poor sports nutrition signage.,Feedback provided; signage issue noted for store manager.
480,Requesting information on Vitamin B12 benefits.,Information request: Vitamin B12 benefits.
481,Unable to track online order.,Order status update: delivery within 2 days.
482,Delayed vitamin order.,Order expedited; shipping upgraded.
483,Insomnia due to menopause.,Recommended Valerian Root and Melatonin supplements.
484,Positive feedback.,Positive feedback; no issue.
485,Seeking sensitive skin moisturizer recommendation.,Product recommendation: Holland & Barrett Sensitive Skin Moisturizer.
486,Shattered peanut butter jar in order #HB334455.,Replacement jar of peanut butter sent.
487,Price increase; loyalty program signup.,Enrolled in loyalty program.
488,Ineffective menopause supplements.,Continue supplements for a few more weeks; consult healthcare provider if no improvement.
489,Clumpy protein powder.,Replacement protein powder sent.
490,Positive feedback on Cambridge store service.,Positive feedback; no resolution needed.
491,Positive feedback on Newcastle store staff.,Positive feedback provided; no resolution needed.
492,Late delivery of protein powder order.,Replacement order expedited.
493,Store closure prevented order pickup.,Order redirected to home delivery due to store closure.
494,Incorrect delivery address.,Redelivery arranged.
495,Delivery address change.,Delivery address changed.
496,Incorrect product received.,"Incorrect order received; replacement sent, sunflower seeds gifted."
497,Positive feedback on Edinburgh store staff.,Positive feedback on Edinburgh store staff.
498,Suggestion for improved gluten-free section signage.,Suggestion forwarded to store manager.
499,Expressing gratitude for excellent service.,Positive feedback; no issue resolution needed.
500,Uninformed staff at Oxford Street store.,Feedback forwarded to Oxford Street store manager.
501,Damaged package contents.,Damaged order replaced.
502,Delayed vitamin order.,Order shipping expedited due to stock delay.
503,Spoiled dairy-free yogurt.,Replacement yogurt sent.
504,App crashing when adding items to cart.,Cleared app cache.
505,Poor customer service at Cardiff Queen Street store.,Complaint logged; action to be taken.
506,Damaged protein powder; refund delayed.,"Refund processed, discount voucher issued."
507,Missing package in order.,Refund issued for lost package.
508,Missing delivery update.,Order dispatched; delivery expected tomorrow.
509,Order status update.,Order dispatched; tracking email to follow.
510,Racist abuse by staff.,Thorough investigation and disciplinary action against staff.
511,Difficulty sleeping.,Recommended melatonin and valerian root supplements.
512,"Damaged, leaking honey; requesting refund.",Refund processed.
513,Order cancellation.,"Order cancelled, refund processed."
514,Seeking hair and nail supplement recommendations.,Recommended Biotin and Collagen supplements.
515,No issue; expressing gratitude.,No issue; expressing gratitude.
516,Received duplicate item in order.,Duplicate item sent; customer can keep extra bottle.
517,Rude staff in Egham store.,Complaint forwarded to store manager.
518,Unhelpful and disrespectful staff.,Complaint escalated to store manager for staff training.
519,Missed delivery notification.,System error prevented notification; order is en route.
520,Missing order.,Replacement order issued.
521,Damaged chia seed packaging.,Replacement chia seeds ordered.
522,Missing order notification.,Order ready for collection; notification system error.
523,Chronic fatigue.,Recommended Energy Multivitamin (Holland & Barrett brand or Solgar B-Complex).
524,Incomplete vitamin bottle.,Replacement bottle of Omega-3 Fish Oil sent.
525,Voucher code not working in-store.,Voucher activated.
526,Authenticity of spirulina powder purchase.,Product authenticity confirmed.
527,Missing order confirmation email; order subsequently found to be lost.,Refund issued for lost order.
528,Strange smell in chia seeds.,Replacement chia seeds sent.
529,Lack of ingredient transparency on beauty product.,Issue escalated to product team for improved labeling.
530,Short expiry date on supplements.,Replacement supplements sent.
531,Damaged/incomplete omega-3 supplement delivery.,Replacement order processed.
532,Price increase of coconut oil.,10% discount applied for price increase.
533,Positive feedback on telephone ordering experience.,Positive feedback given.
534,Complimenting store service.,Positive feedback; no issue resolution needed.
535,Incomplete order fulfillment.,Missing glucosamine bottle to be sent free of charge.
